termNumber,previousBalance,payment,interest,principal,newBalance
1,4000000.00,182623.92,29791.01,152832.92,3847167.08
2,3847167.08,182623.92,28652.75,153971.18,3693195.91
3,3693195.91,182623.92,27506.01,155117.92,3538077.99
4,3538077.99,182623.92,26350.73,156273.20,3381804.79
5,3381804.79,182623.92,25186.84,157437.08,3224367.71
6,3224367.71,182623.92,24014.29,158609.63,3065758.08
7,3065758.08,182623.92,22833.01,159790.92,2905967.16
8,2905967.16,182623.92,21642.92,160981.00,2744986.16
9,2744986.16,182623.92,20443.98,162179.95,2582806.22
10,2582806.22,182623.92,19236.10,163387.82,2419418.39
11,2419418.39,182623.92,18019.23,164604.70,2254813.70
12,2254813.70,182623.92,16793.29,165830.63,2088983.07
13,2088983.07,182623.92,15558.23,167065.70,1921917.37
14,1921917.37,182623.92,14313.96,168309.96,1753607.41
15,1753607.41,182623.92,13060.43,169563.49,1584043.92
16,1584043.92,182623.92,11797.57,170826.36,1413217.56
17,1413217.56,182623.92,10525.29,172098.63,1241118.94
18,1241118.94,182623.92,9243.55,173380.38,1067738.56
19,1067738.56,182623.92,7952.25,174671.67,893066.89
20,893066.89,182623.92,6651.34,175972.58,717094.31
21,717094.31,182623.92,5340.74,177283.18,539811.12
22,539811.12,182623.92,4020.38,178603.54,361207.58
23,361207.58,182623.92,2690.18,179933.74,181273.84
24,181273.84,182623.92,1350.08,181273.84,0.00
